matchup,p1_name,p2_name,episode,round,round_winner,p1_hp_final,p2_hp_final,p1_hp_ratio,p2_hp_ratio
Curriculum_vs_CPU,Curriculum,CPU,47,1,p2,0,113,0.0,0.642
Curriculum_vs_CPU,Curriculum,CPU,47,2,p1,150,0,0.8523,0.0
Curriculum_vs_CPU,Curriculum,CPU,47,3,p2,0,42,0.0,0.2386
Curriculum_vs_CPU,Curriculum,CPU,48,1,p2,0,56,0.0,0.3182
Curriculum_vs_CPU,Curriculum,CPU,48,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,48,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,49,1,p2,0,133,0.0,0.7557
Curriculum_vs_CPU,Curriculum,CPU,49,2,p2,0,70,0.0,0.3977
Curriculum_vs_CPU,Curriculum,CPU,50,1,p2,0,6,0.0,0.0341
Curriculum_vs_CPU,Curriculum,CPU,50,2,p1,110,0,0.625,0.0
Curriculum_vs_CPU,Curriculum,CPU,50,3,p1,150,0,0.8523,0.0
Curriculum_vs_CPU,Curriculum,CPU,51,1,p2,0,128,0.0,0.7273
Curriculum_vs_CPU,Curriculum,CPU,51,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,51,3,p1,136,0,0.7727,0.0
Curriculum_vs_CPU,Curriculum,CPU,52,1,p1,43,0,0.2443,0.0
Curriculum_vs_CPU,Curriculum,CPU,52,2,p2,0,152,0.0,0.8636
Curriculum_vs_CPU,Curriculum,CPU,52,3,p1,71,0,0.4034,0.0
Curriculum_vs_CPU,Curriculum,CPU,53,1,p2,0,145,0.0,0.8239
Curriculum_vs_CPU,Curriculum,CPU,53,2,p1,17,0,0.0966,0.0
Curriculum_vs_CPU,Curriculum,CPU,53,3,p2,0,80,0.0,0.4545
Curriculum_vs_CPU,Curriculum,CPU,54,1,p1,98,0,0.5568,0.0
Curriculum_vs_CPU,Curriculum,CPU,54,2,p1,136,0,0.7727,0.0
Curriculum_vs_CPU,Curriculum,CPU,55,1,draw,0,0,0.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,55,2,p1,150,0,0.8523,0.0
Curriculum_vs_CPU,Curriculum,CPU,55,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,56,1,p2,0,43,0.0,0.2443
Curriculum_vs_CPU,Curriculum,CPU,56,2,p2,0,65,0.0,0.3693
Curriculum_vs_CPU,Curriculum,CPU,57,1,p2,0,70,0.0,0.3977
Curriculum_vs_CPU,Curriculum,CPU,57,2,p1,124,0,0.7045,0.0
Curriculum_vs_CPU,Curriculum,CPU,57,3,p1,105,0,0.5966,0.0
Curriculum_vs_CPU,Curriculum,CPU,58,1,p2,0,172,0.0,0.9773
Curriculum_vs_CPU,Curriculum,CPU,58,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,58,3,p1,4,0,0.0227,0.0
Curriculum_vs_CPU,Curriculum,CPU,59,1,p2,0,67,0.0,0.3807
Curriculum_vs_CPU,Curriculum,CPU,59,2,p2,0,89,0.0,0.5057
Curriculum_vs_CPU,Curriculum,CPU,60,1,p1,16,0,0.0909,0.0
Curriculum_vs_CPU,Curriculum,CPU,60,2,p1,63,0,0.358,0.0
Curriculum_vs_CPU,Curriculum,CPU,61,1,p2,0,114,0.0,0.6477
Curriculum_vs_CPU,Curriculum,CPU,61,2,draw,0,0,0.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,61,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,62,1,p1,46,0,0.2614,0.0
Curriculum_vs_CPU,Curriculum,CPU,62,2,p1,111,0,0.6307,0.0
Curriculum_vs_CPU,Curriculum,CPU,63,1,p2,0,85,0.0,0.483
Curriculum_vs_CPU,Curriculum,CPU,63,2,p1,122,0,0.6932,0.0
Curriculum_vs_CPU,Curriculum,CPU,63,3,p1,54,0,0.3068,0.0
Curriculum_vs_CPU,Curriculum,CPU,64,1,p1,110,0,0.625,0.0
Curriculum_vs_CPU,Curriculum,CPU,64,2,p2,0,99,0.0,0.5625
Curriculum_vs_CPU,Curriculum,CPU,64,3,p1,145,0,0.8239,0.0
Curriculum_vs_CPU,Curriculum,CPU,65,1,p2,0,71,0.0,0.4034
Curriculum_vs_CPU,Curriculum,CPU,65,2,p1,28,0,0.1591,0.0
Curriculum_vs_CPU,Curriculum,CPU,65,3,p1,150,0,0.8523,0.0
Curriculum_vs_CPU,Curriculum,CPU,66,1,p1,83,0,0.4716,0.0
Curriculum_vs_CPU,Curriculum,CPU,66,2,p2,0,69,0.0,0.392
Curriculum_vs_CPU,Curriculum,CPU,66,3,p1,150,0,0.8523,0.0
Curriculum_vs_CPU,Curriculum,CPU,67,1,p2,0,57,0.0,0.3239
Curriculum_vs_CPU,Curriculum,CPU,67,2,p1,61,0,0.3466,0.0
Curriculum_vs_CPU,Curriculum,CPU,67,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,68,1,p1,96,0,0.5455,0.0
Curriculum_vs_CPU,Curriculum,CPU,68,2,p1,150,0,0.8523,0.0
Curriculum_vs_CPU,Curriculum,CPU,69,1,p2,0,13,0.0,0.0739
Curriculum_vs_CPU,Curriculum,CPU,69,2,p2,0,1,0.0,0.0057
Curriculum_vs_CPU,Curriculum,CPU,70,1,p1,0,0,0.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,70,2,p1,41,0,0.233,0.0
Curriculum_vs_CPU,Curriculum,CPU,71,1,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,71,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,72,1,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,72,2,p1,100,0,0.5682,0.0
Curriculum_vs_CPU,Curriculum,CPU,73,1,p1,55,0,0.3125,0.0
Curriculum_vs_CPU,Curriculum,CPU,73,2,p2,0,1,0.0,0.0057
Curriculum_vs_CPU,Curriculum,CPU,73,3,p1,136,0,0.7727,0.0
Curriculum_vs_CPU,Curriculum,CPU,74,1,p2,0,144,0.0,0.8182
Curriculum_vs_CPU,Curriculum,CPU,74,2,p2,0,86,0.0,0.4886
Curriculum_vs_CPU,Curriculum,CPU,75,1,p2,0,87,0.0,0.4943
Curriculum_vs_CPU,Curriculum,CPU,75,2,p2,0,157,0.0,0.892
Curriculum_vs_CPU,Curriculum,CPU,76,1,p1,19,0,0.108,0.0
Curriculum_vs_CPU,Curriculum,CPU,76,2,p1,84,0,0.4773,0.0
Curriculum_vs_CPU,Curriculum,CPU,77,1,p1,103,0,0.5852,0.0
Curriculum_vs_CPU,Curriculum,CPU,77,2,p2,0,114,0.0,0.6477
Curriculum_vs_CPU,Curriculum,CPU,77,3,p1,32,0,0.1818,0.0
Curriculum_vs_CPU,Curriculum,CPU,78,1,p2,0,102,0.0,0.5795
Curriculum_vs_CPU,Curriculum,CPU,78,2,p2,0,152,0.0,0.8636
Curriculum_vs_CPU,Curriculum,CPU,79,1,p2,0,101,0.0,0.5739
Curriculum_vs_CPU,Curriculum,CPU,79,2,p1,2,0,0.0114,0.0
Curriculum_vs_CPU,Curriculum,CPU,79,3,p1,46,0,0.2614,0.0
